10/04/22 20:42--> ---ЗАПУСК БОТА---
10/04/22 20:42--> Нажата кнопка "Сумма"
10/04/22 20:42--> Я не понял, что он хотел от меня - totgeliebt: 4
10/04/22 20:42--> Нет аргументов для /sum
10/04/22 20:42--> 22 + 78 = 100
